product_name,id,rating,message,date,timestamp,variant,is_anonymous,username,total_likes,has_image,has_video,seller_reply
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1677041431,5,Hpnya sesuai bangat sma gambarnya  aku suda COD k sekian kalinya. Cuma baru berikan ulasan pkonya COD tiktok engga bakal salah dan tidak pernah kecewa,1757837610,7 bulan lalu,Merah,True,Anonymous,0,False,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1644738897,1,Handphone bermasalah di minta garansi terlalu banyak Hana hini,1756034573,8 bulan lalu,Hitam,True,Anonymous,0,False,True,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1640267549,5,Lngsung check out 2 wort it dngan hrga sgitu..sangat sangat memuaskan.tkonya amanah😍,1755777028,8 bulan lalu,Hitam,True,Anonymous,0,True,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1636447169,5,Mantap,1755569931,8 bulan lalu,Biru,True,Anonymous,0,False,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1636435250,4,Bagus sihhhh tapi kandang ngelek...baru ram nya 3 doang tototal penyimpanan nya cuma 64,1755569230,8 bulan lalu,Pink,True,Anonymous,0,False,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1634367055,1,HP nya tidak bisa hidup,1755433672,8 bulan lalu,Hitam,True,Anonymous,0,False,True,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1627709490,4,Hp dah di terima tapi baru seminggu dah ngekek,1755101106,8 bulan lalu,Biru,True,Anonymous,0,False,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1623047494,4,"pengiriman cepat, datang dengan sumpurna, noken, sayangnya saya pesen warna hitam datang nya warna biru",1754892757,8 bulan lalu,Hitam,True,Anonymous,0,True,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1619231104,5,Mantap puas,1754719427,8 bulan lalu,Biru,True,Anonymous,0,False,False,
Hp Smartphone A3S Ram 6 128 Fullset Garansi 1 Tahun Cod,1615683941,5,"BAGUSS BANGETT, BERFUNGSI DENGAN BAIKK POKONYAA MANTEPP DEHH THANK YOU KAKK, pembelian pertama langsung happyy ga nyesell👍👍",1754565419,8 bulan lalu,Pink,True,Anonymous,0,False,False,
